User_Id,Business_Id,Pred_rating
YHWsLBS8jzZiPjKHMFOaAA,iKMLsX1Je7P3wAOEc9scDg,3.2243300193324647
YHWsLBS8jzZiPjKHMFOaAA,VXlK-DWw4ADR4TE7Eou5Dg,2.610864012094197
YHWsLBS8jzZiPjKHMFOaAA,ghaj1MZzPW1qXYCZWfoTTw,3.551759262118823
YHWsLBS8jzZiPjKHMFOaAA,TrOgTZ0DfmQxvpTehiNibQ,3.0555243883514027
YHWsLBS8jzZiPjKHMFOaAA,43PeF0ERpSIiEbXM6f9N2g,2.4829236276153104
YHWsLBS8jzZiPjKHMFOaAA,y-sRypoTK2L6EuozhEMQzA,2.6671613917849175
YHWsLBS8jzZiPjKHMFOaAA,VeVjZ8aR_zFEM9jKJuvraw,3.224320628042925
YHWsLBS8jzZiPjKHMFOaAA,amsvLzfEvCzLwP0MnXAJ1w,3.051194986045587
YgavGxfAdjhkkbwlAY_9ZQ,gOBxVkHpqtjRRxHBIrpnMA,3.5250832009033815
YgavGxfAdjhkkbwlAY_9ZQ,dgpPVSFL84ONx477Lln2sw,3.849987993580733
YgavGxfAdjhkkbwlAY_9ZQ,edf1UxWW9-7u_f35kbvEwQ,1.7534162794210033
YgavGxfAdjhkkbwlAY_9ZQ,7cMnc_zSPenfSQa9_199CA,3.8809337693344403
q3AiAe-AcpDrNsdZf8nCvQ,whAwdYVty-jSNRhrYT2zHA,4.29341378826112
q3AiAe-AcpDrNsdZf8nCvQ,7XTGtaKjANmZqp2QtN_iPA,4.217991680269796
q3AiAe-AcpDrNsdZf8nCvQ,YmFkrylzWy4vmNFkWk-I0g,3.4184311267623713
IKChsSm17dLG0mTHjFiDLg,mYZth87kJbyWwmTmVsvKcw,3.4338037128811294
IKChsSm17dLG0mTHjFiDLg,LTywGqbbdAlZr7R5vodlPw,3.5631758268899745
WQbJUmnkVpbbOaWMQloHDg,xDvl_i1g1HCJ4EmIRmwfqg,3.237287096571208
ZdUFyF5eNyZxete-T4bmZA,inlFU8EIUAoSeqLfzghakw,2.3454385623304717
ZdUFyF5eNyZxete-T4bmZA,e-X1HcALttCuuHtl0wU_gg,2.623939726995715
ZdUFyF5eNyZxete-T4bmZA,C-u6Ywuq192icOblKm6oKg,3.001316176357065
ZdUFyF5eNyZxete-T4bmZA,DO5mQxiBOgHEznosjxvJXw,3.0376861483030098
ZdUFyF5eNyZxete-T4bmZA,pWjcb5g3YEvBEOKS8VkZ9g,2.5898499011396154
OxE0QBa6m1399S8BXigIsg,1dhPgc7E7IzzpxjHM2LphQ,4.058281121879709
Ud6j2HN40qEhycq2PuwcBA,o7AiTlyWUrBSzdz6oMHj5w,2.762914067875677
Ud6j2HN40qEhycq2PuwcBA,gBfPyzPRmeOaj3SdcIj0Rw,3.9393996366474227
Ud6j2HN40qEhycq2PuwcBA,_PVqHUwjev4oOXomC7pk3w,3.4651093481213735
Ud6j2HN40qEhycq2PuwcBA,W-YhRJOSezqESSas-oLArw,2.670882647991739
2zwLDI8qmMmlok9jHWebWg,Es_cIduurEbcndt6y67hBg,1.6596696783778755
kmrK4LByvnX3SgU2tIDmOw,Ycn-l-X6joxbVQzgxjXpRQ,4.173333140959684
9QrE24JaemD3TLFihmTKxg,SYKC66fxrtytQAIae9xd-Q,3.235760554638631
8Rze3PzRB8zummKDqDky8A,G8vA6pq4p8KslaURm-q65Q,4.465304921841867
i8A2gJfUIJPGFvzbFhg6Tw,qjnJFZtsY_nfRzoL3J_UWQ,3.1094244013455707
i8A2gJfUIJPGFvzbFhg6Tw,cOJ1uIVIHCiefUyWG2wDfw,3.7204703980370795
0VGyHs4wBTSdulD4KGgamA,jItm9rWFREGUkHMJZRbbPg,2.6915951086011844
yKACyBwZooyW6C-90fm1dA,I6EDDi4-Eq_XlFghcDCUhw,4.187595244155551
yKACyBwZooyW6C-90fm1dA,8EZ3V_eRfhTRCjpdTD2tug,3.444119844531194
DfCnfqiK2lJMViVcuxjO6Q,zYRBRfYuq_6x-wNKa8NqrA,6.931193574366796
xVnQBHLHsFQTUvinc2IS7w,s9CG5XGXJQpP03iYFIHeLA,5.284124257171804
pJy0T9B8HrPjsc0_QxCsyQ,a1v8QIdbA_HTg_YyNlBY_w,3.756254871180232
K5pAN2dD-THL-wRBZmL5HQ,yfxDa8RFOvJPQh0rNtakHA,3.6146095609875886
