UserId,BusinessId,Pred_rating
YHWsLBS8jzZiPjKHMFOaAA,iKMLsX1Je7P3wAOEc9scDg,4.2
YHWsLBS8jzZiPjKHMFOaAA,amsvLzfEvCzLwP0MnXAJ1w,3.3138297872340425
YHWsLBS8jzZiPjKHMFOaAA,43PeF0ERpSIiEbXM6f9N2g,3.1
YHWsLBS8jzZiPjKHMFOaAA,y-sRypoTK2L6EuozhEMQzA,2.06810116750392
YHWsLBS8jzZiPjKHMFOaAA,VeVjZ8aR_zFEM9jKJuvraw,4.028550209757611
YHWsLBS8jzZiPjKHMFOaAA,VXlK-DWw4ADR4TE7Eou5Dg,2.6
YHWsLBS8jzZiPjKHMFOaAA,TrOgTZ0DfmQxvpTehiNibQ,4.093434166886115
YHWsLBS8jzZiPjKHMFOaAA,ghaj1MZzPW1qXYCZWfoTTw,3.4
YgavGxfAdjhkkbwlAY_9ZQ,dgpPVSFL84ONx477Lln2sw,4.0347725648734825
YgavGxfAdjhkkbwlAY_9ZQ,edf1UxWW9-7u_f35kbvEwQ,3.5
YgavGxfAdjhkkbwlAY_9ZQ,gOBxVkHpqtjRRxHBIrpnMA,2.8966617827967203
YgavGxfAdjhkkbwlAY_9ZQ,7cMnc_zSPenfSQa9_199CA,4.282751451050644
q3AiAe-AcpDrNsdZf8nCvQ,YmFkrylzWy4vmNFkWk-I0g,5.0
q3AiAe-AcpDrNsdZf8nCvQ,whAwdYVty-jSNRhrYT2zHA,4.498242926112654
q3AiAe-AcpDrNsdZf8nCvQ,7XTGtaKjANmZqp2QtN_iPA,4.493017736657673
IKChsSm17dLG0mTHjFiDLg,mYZth87kJbyWwmTmVsvKcw,4.0
IKChsSm17dLG0mTHjFiDLg,LTywGqbbdAlZr7R5vodlPw,3.5
WQbJUmnkVpbbOaWMQloHDg,xDvl_i1g1HCJ4EmIRmwfqg,1.2153903091734726
ZdUFyF5eNyZxete-T4bmZA,pWjcb5g3YEvBEOKS8VkZ9g,4.0
ZdUFyF5eNyZxete-T4bmZA,inlFU8EIUAoSeqLfzghakw,1.8489871800415287
ZdUFyF5eNyZxete-T4bmZA,e-X1HcALttCuuHtl0wU_gg,4.247624833551196
ZdUFyF5eNyZxete-T4bmZA,C-u6Ywuq192icOblKm6oKg,4.426716935102039
ZdUFyF5eNyZxete-T4bmZA,DO5mQxiBOgHEznosjxvJXw,5.0
OxE0QBa6m1399S8BXigIsg,1dhPgc7E7IzzpxjHM2LphQ,-1.2417379137435403
Ud6j2HN40qEhycq2PuwcBA,W-YhRJOSezqESSas-oLArw,3.011221271753933
Ud6j2HN40qEhycq2PuwcBA,gBfPyzPRmeOaj3SdcIj0Rw,3.6713899213632777
Ud6j2HN40qEhycq2PuwcBA,_PVqHUwjev4oOXomC7pk3w,3.3007158407180532
Ud6j2HN40qEhycq2PuwcBA,o7AiTlyWUrBSzdz6oMHj5w,3.5620375550019667
2zwLDI8qmMmlok9jHWebWg,Es_cIduurEbcndt6y67hBg,3.0
kmrK4LByvnX3SgU2tIDmOw,Ycn-l-X6joxbVQzgxjXpRQ,-0.5945945945945943
9QrE24JaemD3TLFihmTKxg,SYKC66fxrtytQAIae9xd-Q,3.1561301222115583
8Rze3PzRB8zummKDqDky8A,G8vA6pq4p8KslaURm-q65Q,3.884483191042535
i8A2gJfUIJPGFvzbFhg6Tw,cOJ1uIVIHCiefUyWG2wDfw,2.466992006799529
